İterasyon;Toplam Maliyet
1;29150
2;26250
3;26000
4;26350
5;22850
6;26450
7;26650
8;26550
9;23150
10;23100
11;23250
12;26350
13;23350
14;22950
15;26350
16;26050
17;26150
18;23250
19;23350
20;26650
21;32650
22;26350
23;29550
24;23050
25;32350
26;26150
27;22950
28;29550
29;26350
30;26250
31;26050
32;26300
33;22750
34;23050
35;23450
36;26150
37;23050
38;22950
39;26350
40;26150
41;23150
42;22750
43;26250
44;26250
45;26250
46;26450
47;29450
48;26250
49;26350
50;26250
51;23350
52;22800
53;23050
54;22950
55;23250
56;26250
57;23050
58;26450
59;26450
60;23050
61;29650
62;26350
63;26250
64;26250
65;29750
66;22850
67;22850
68;23250
69;26250
70;29350
71;26150
72;22900
73;23050
74;23300
75;25950
76;22950
77;23250
78;23250
79;26450
80;23050
81;23000
82;19850
83;26450
84;26450
85;23150
86;26550
87;22950
88;23100
89;23050
90;29850
91;26450
92;26150
93;23050
94;26350
95;26350
96;26250
97;26150
98;23250
99;26450
100;23150
101;26300
102;26350
103;25900
104;23250
105;26100
106;23050
107;26450
108;26350
109;23050
110;23050
111;26650
112;32550
113;29650
114;29250
115;26350
116;26350
117;22950
118;22750
119;26350
120;23000
121;26550
122;26350
123;23150
124;23100
125;26450
126;29350
127;23350
128;22850
129;26250
130;26450
131;23050
132;26250
133;29250
134;23450
135;29450
136;23250
137;26150
138;23000
139;25950
140;22800
141;29350
142;26650
143;26150
144;26450
145;22950
146;26150
147;23150
148;23450
149;26250
150;23250
151;26450
152;32550
153;26550
154;26250
155;23450
156;26350
157;23200
158;29350
159;22900
160;23200
161;26250
162;23150
163;23250
164;29750
165;23350
166;26250
167;23150
168;26650
169;23000
170;23150
171;26200
172;26550
173;26350
174;26200
175;22800
176;23050
177;26350
178;26450
179;23150
180;26150
181;22850
182;26250
183;23050
184;26350
185;26650
186;26550
187;26350
188;26450
189;26450
190;26450
191;29650
192;26650
193;26250
194;25950
195;22950
196;26250
197;29350
198;23250
199;23350
200;23250
201;26150
202;26250
203;22750
204;29250
205;22950
206;32650
207;26550
208;26250
209;29650
210;26350
211;26150
212;29650
213;26350
214;26350
215;26350
216;26250
217;26650
218;32150
219;26400
220;23250
221;22850
222;26350
223;23150
224;32450
225;23300
226;29850
227;26150
228;32450
229;29450
230;29450
231;22850
232;26550
233;29450
234;23250
235;26150
236;23150
237;23150
238;22950
239;23150
240;26450
241;26450
242;23450
243;23050
244;23150
245;23350
246;23150
247;23150
248;26350
249;23100
250;23450
251;26350
252;23000
253;22950
254;22850
255;23000
256;23350
257;23250
258;29550
259;29150
260;26650
261;26350
262;29650
263;26350
264;26350
265;23150
266;26000
267;23350
268;23200
269;26350
270;26150
271;26150
272;23050
273;29850
274;22900
275;25950
276;23050
277;26650
278;26550
279;23350
280;26550
281;23350
282;22850
283;23000
284;26350
285;26350
286;29450
287;26050
288;26350
289;26250
290;22950
291;23250
292;26550
293;26650
294;23200
295;26150
296;23050
297;29850
298;23350
299;26350
300;26050
301;23350
302;20050
303;29650
304;26450
305;32850
306;23350
307;26550
308;26350
309;26300
310;23050
311;23450
312;29550
313;23150
314;26450
315;26350
316;22950
317;25950
318;29750
319;22950
320;26250
321;23100
322;23450
323;22950
324;26050
325;26550
326;26000
327;26550
328;23000
329;29250
330;26350
331;26550
332;26150
333;23050
334;23200
335;22950
336;23450
337;23350
338;23150
339;29450
340;26250
341;22950
342;23150
343;22950
344;22750
345;23150
346;23250
347;29550
348;26350
349;26650
350;22950
351;26150
352;22950
353;22950
354;29550
355;23350
356;26250
357;26450
358;26350
359;26200
360;26250
361;32350
362;23250
363;22900
364;29350
365;23450
366;26550
367;22800
368;22850
369;29650
370;22850
371;26350
372;23050
373;23250
374;23250
375;23150
376;25950
377;23250
378;26450
379;29450
380;23150
381;23150
382;26450
383;26250
384;23300
385;26350
386;26150
387;26550
388;26450
389;22850
390;23150
391;26450
392;26350
393;26550
394;23450
395;26650
396;26150
397;23050
398;26650
399;23050
400;26550
401;26250
402;29650
403;26450
404;23150
405;26550
406;29550
407;23350
408;19600
409;26450
410;26550
411;23350
412;26650
413;22950
414;23050
415;22850
416;23050
417;23250
418;26450
419;26250
420;26350
421;26350
422;22950
423;23250
424;23150
425;26550
426;26450
427;26550
428;26550
429;26450
430;29450
431;29650
432;32750
433;23150
434;23050
435;22950
436;29150
437;23350
438;22850
439;20050
440;29350
441;23250
442;22950
443;23050
444;23150
445;26250
446;26350
447;23000
448;26350
449;32550
450;22500
451;26550
452;29350
453;29550
454;23250
455;26450
456;26350
457;22950
458;26550
459;23250
460;23150
461;26350
462;23050
463;26450
464;26150
465;26550
466;22750
467;23150
468;23150
469;23050
470;23150
471;26450
472;23350
473;22950
474;23250
475;26650
476;29450
477;26550
478;26250
479;23350
480;26200
481;23000
482;26450
483;26450
484;20050
485;22850
486;26450
487;23050
488;26250
489;23150
490;23200
491;26400
492;26550
493;26150
494;29550
495;26350
496;26350
497;29450
498;29650
499;29650
500;26650
501;26350
502;22950
503;26250
504;26150
505;23050
506;26500
507;23350
508;23350
509;22600
510;23350
511;23350
512;23250
513;25950
514;29650
515;22900
516;23250
517;26250
518;23150
519;29550
520;26250
521;26000
522;23150
523;29150
524;26450
525;23050
526;26350
527;26550
528;26450
529;26650
530;23150
531;29650
532;26450
533;22950
534;26350
535;23450
536;26550
537;29550
538;29650
539;23050
540;23350
541;26200
542;29350
543;26350
544;25950
545;23350
546;23350
547;26550
548;22950
549;26350
550;29650
551;23350
552;26450
553;26650
554;25900
555;26350
556;23350
557;23350
558;23050
559;23350
560;26450
561;26350
562;26250
563;29350
564;26050
565;26450
566;22950
567;23250
568;23000
569;29650
570;26250
571;26650
572;26250
573;26350
574;23150
575;23350
576;26350
577;26350
578;29650
579;23150
580;26650
581;23350
582;23000
583;23050
584;29350
585;23250
586;26450
587;23450
588;23250
589;23250
590;26350
591;23150
592;23300
593;26400
594;26250
595;22800
596;23050
597;29850
598;26350
599;26150
600;26050
601;26000
602;26450
603;26450
604;23350
605;29350
606;26450
607;26650
608;25950
609;26350
610;23350
611;23150
612;29450
613;22950
614;23250
615;29650
616;26450
617;26150
618;26350
619;26350
620;29450
621;26250
622;26050
623;22950
624;29850
625;26350
626;23150
627;23250
628;23000
629;22950
630;26450
631;26550
632;23450
633;26350
634;19950
635;26150
636;26550
637;23150
638;23200
639;26400
640;22900
641;26450
642;29450
643;23050
644;23350
645;19850
646;26350
647;26350
648;26650
649;29550
650;26200
651;23050
652;22950
653;29850
654;22900
655;26650
656;26150
657;26250
658;26000
659;29550
660;29450
661;29450
662;26450
663;26450
664;29450
665;26250
666;29650
667;26150
668;26650
669;23150
670;23000
671;23250
672;23150
673;23250
674;26150
675;22950
676;23350
677;26450
678;23350
679;26250
680;26150
681;26250
682;23250
683;23150
684;23150
685;23050
686;26150
687;23450
688;19850
689;26450
690;29650
691;26250
692;23050
693;26100
694;23150
695;26650
696;23150
697;22850
698;29650
699;29450
700;23350
701;23350
702;29850
703;23250
704;26650
705;26550
706;23150
707;23450
708;26450
709;23350
710;26650
711;26550
712;29350
713;23450
714;23250
715;26550
716;26150
717;23250
718;26550
719;23000
720;26450
721;26150
722;26350
723;23050
724;26250
725;23050
726;22900
727;26450
728;26550
729;29450
730;23350
731;29650
732;26450
733;23350
734;26550
735;23350
736;26250
737;22950
